rent;bedrooms;bathrooms;parkings;sizes;areas
816;0.5;1;1;772 m²;Johannesburg Central
925;1;1;1;15 m²;Berea
1200;1;0.5;0;0;Berea
1000;1;0.5;0;0;Joubert Park
1050;0.5;1;0;0;Doornfontein
1150;1;0.5;0;0;Bertrams
1155;0.5;1;1;516 m²;Bertrams
1155;0.5;1;1;495 m²;Yeoville
1195;1;0.5;0;0;Berea
1200;0.5;1;1;495 m²;Yeoville
1200;1;1;1;12 m²;Kensington
1200;1;0.5;0;0;Berea
1200;0;1;0;30 m²;Hillbrow
1250;1;0.5;0;0;Turf Club
1250;1;0.5;0;0;Bellevue
1275;0.5;1;0;0;Kenilworth
1300;1;0.5;0;0;Bellevue
1320;0.5;1;1;7 512 m²;Berea
1350;1;0.5;0;0;Orange Grove
1350;1;0.5;0;0;Joubert Park
1350;0.5;1;0;0;Hillbrow
1370;0.5;1;1;495 m²;Yeoville
1370;0.5;1;1;495 m²;Yeoville
1370;0.5;1;1;495 m²;Bellevue
1375;0.5;1;1;495 m²;Bellevue
1400;0.5;1;1;495 m²;Bellevue
1400;0.5;1;0;25 m²;Hillbrow
1420;0.5;1;3;495 m²;Berea
1430;0.5;1;0;496 m²;Yeoville
1443;0;1;0;40 m²;Hillbrow
1443;0.5;1;0;40 m²;Hillbrow
1450;1;1;1;0;Turffontein
1500;0.5;0;1;1 490 m²;Bellevue
1500;1;0.5;0;0;Bellevue
1500;1;0.5;0;0;Berea
1540;0.05;1;0;495 m²;Yeoville
1600;0.5;1;0;496 m²;Yeoville
1600;0.05;1;0;495 m²;Yeoville
OA;0;0;0;0;Berea
1600;1;1;0;0;Bellevue East
1650;1;1;0;0;Rosettenville
1650;1;1;0;0;Brixton
1650;1;1;0;0;Johannesburg Central
1700;0.5;1;1;495 m²;Yeoville
1700;1;0.5;0;0;Rosettenville
1700;1;1;0;0;Jeppestown
1700;0.5;0;0;800 m²;Berea
1710;0.5;1;0;30 m²;Maboneng
1700;0.5;0;0;800 m²;Berea
1750;1;0.5;0;0;Berea
1750;1;1;0;0;Jeppestown
1760;0;1;1;30 m²;Yeoville
1762;0;1;0;35 m²;Hillbrow
1800;1;0.5;0;0;Bellevue
1800;0.05;0;1;1 239 m²;Berea
1800;0;1;0;0;Maboneng
1800;0.5;1;0;0;Braamfontein
1800;0.5;1;1;497 m²;Berea
1865;0.5;1;1;495 m²;Yeoville
1900;0;1;0;20 m²;Jeppestown
1900;0.5;1;2;248 m²;Hillbrow
1900;1;1;0;0;Yeoville
1950;1;0.5;0;0;Bellevue
1950;0.5;1;1;0;Jeppestown
1950;1;1;0;0;New Doornfontein
1964;0.5;1;1;7 512 m²;Berea
1980;0;0;1;30 m²;Hillbrow
1980;0.5;1;1;516 m²;Bertrams
1980;0.5;1;1;495 m²;Bellevue
1995;0.5;1;0;0;Jeppestown
2000;8;3;0;248 m²;Vrededorp
2000;0.5;1;1;12 m²;Johannesburg Central
2000;0.5;1;1;14 m²;Johannesburg Central
2000;0.5;1;1;12 m²;Johannesburg Central
2000;0.5;1;1;12 m²;Johannesburg Central
2000;1;0.5;0;0;Forest Hill
2000;3;1;1;52 m²;Ridgeway
2000;1;1;0;0;Doornfontein
2000;1;1;0;0;Johannesburg Central
2000;0.5;0;1;12 m²;Berea
2000;1;1;0;0;Johannesburg Central
2000;0.5;1;1;45 m²;Hillbrow
2000;1;0;0;0;Liefde En Vrede
2000;1;1;0;0;Brixton
2000;1;1;1;0;Marshalltown
2000;1;1;1;0;Marshalltown
2000;1;1;0;0;Doornfontein
2000;1;1;0;0;Johannesburg Central
2050;0;0;0;0;Kew
2090;0;1;0;20 m²;Jeppestown
2090;1;1;0;30 m²;New Doornfontein
2100;0;1;1;45 m²;Berea
2152;0;1;0;20 m²;Jeppestown
2100;0;1;1;15 m²;Hillbrow
2100;1;0.5;0;0;Bellevue
2100;0.5;1;0;0;Bellevue
2100;1;0.5;0;0;Regents Park
2100;1;1;2;0;Doornfontein
2140;0.5;1;1;495 m²;Bellevue
2145;0.5;1;0;248 m²;Vrededorp
2148;0.5;1;0;15 m²;Johannesburg Central
2152;0.5;1;0;15 m²;Johannesburg Central
2152;0;1;0;20 m²;Jeppestown
2160;0.5;1;0;495 m²;Yeoville
2167;0;1;0;20 m²;Jeppestown
2167;0;1;0;20 m²;Jeppestown
2170;1;1;0;0;New Doornfontein
2170;1;1;0;0;Johannesburg Central
2175;1;1;0;0;Johannesburg Central
2190;0.5;1;0;30 m²;New Doornfontein
2200;0.5;1;1;17 m²;Johannesburg Central
2200;0;0;1;40 m²;Hillbrow
2200;1;1;1;19 m²;Marshalltown
2200;0.5;1;0;248 m²;Vrededorp
2200;1;1;0;65 m²;Rosettenville
